Class Class
PGM1 ProgramName
{ Lcurly
CONST id
J id
= $=
LIT2 numLit
, comma
ans id
= $=
LIT1 numLit
, comma
M id
= $=
LIT6 numLit
, comma
N id
= $=
LIT2 numLit
; semi
WHILE WHILE
M id
> relop
LIT5 numLit
DO DO
{ Lcurly
ans id
= $=
ans id
* mop
N id
; semi
WHILE WHILE
N id
> relop
J id
DO DO
{ Lcurly
ans id
= $=
ans id
+ addop
J id
; semi
N id
= $=
J id
+ addop
LIT15 numLit
; semi
} Rcurly
M id
= $=
N id
+ addop
LIT5 numLit
; semi
} Rcurly
} Rcurly
